지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41113,정조로514번길,세류동,1021-4,한주,1995,5,84.83,2020,1,1,232000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,15,84.98,2020,1,1,535000000
41113,세권로36번길,세류동,1249,수원권선데시앙,2009,8,84.9389,2020,1,1,325000000
41113,세지로,세류동,840,삼익,1999,3,59.64,2020,1,2,217000000
41113,세류로,세류동,1270,수원센트럴타운2단지,2015,6,59.88,2020,1,2,490000000
41113,정조로536번길,세류동,530-3,장미,1983,3,60.84,2020,1,2,175000000
41113,정조로514번길,세류동,1021-4,한주,1995,9,59.97,2020,1,4,184500000
41113,세권로36번길,세류동,1249,수원권선데시앙,2009,7,84.9274,2020,1,4,323000000
41113,세류로,세류동,1260,수원역해모로아파트(수원센트럴타운1단지),2015,12,84.98,2020,1,5,600000000
41113,정조로544번길,세류동,530-3,장미,1983,4,64.8,2020,1,6,172000000
41113,세지로,세류동,846-1,현대,1990,3,84.99,2020,1,6,240000000
41113,세지로,세류동,1248,녹턴,2006,8,79.72,2020,1,7,280000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,2,84.98,2020,1,8,530000000
41113,세류로,세류동,1260,수원역해모로아파트(수원센트럴타운1단지),2015,13,84.77,2020,1,9,578500000
41113,세류로,세류동,1270,수원센트럴타운2단지,2015,13,59.98,2020,1,11,500000000
41113,세지로,세류동,1248,녹턴,2006,2,79.72,2020,1,13,260000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,10,84.98,2020,1,14,550000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,6,84.98,2020,1,14,547000000
41113,세지로,세류동,846-1,현대,1990,2,84.99,2020,1,15,250000000
41113,정조로536번길,세류동,530-3,장미,1983,3,60.84,2020,1,17,137000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,7,84.98,2020,1,17,560000000
41113,세지로,세류동,840,삼익,1999,4,113.91,2020,1,18,288000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,13,84.98,2020,1,18,550000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,11,84.98,2020,1,18,550000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,9,84.98,2020,1,18,550000000
41113,세류로,세류동,1270,수원센트럴타운2단지,2015,7,59.88,2020,1,19,490000000
41113,세류로,세류동,1260,수원역해모로아파트(수원센트럴타운1단지),2015,14,84.57,2020,1,19,595000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,9,84.98,2020,1,20,560000000
41113,세류로,세류동,1270,수원센트럴타운2단지,2015,10,59.93,2020,1,20,500000000
41113,정조로536번길,세류동,530-3,장미,1983,5,58.14,2020,1,21,180000000
41113,세지로,세류동,840,삼익,1999,12,59.64,2020,1,23,223000000
41113,세권로,세류동,1280,수원역센트럴어반시티아파트(수원센트럴타운3단지),2015,12,84.98,2020,1,23,580000000
