지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41111,경수대로,파장동,632,북수원아이파크,2005,2,84.98,2020,1,6,325000000
41111,수일로,파장동,199,궁전,1986,4,44.37,2020,1,13,120000000
41111,경수대로,파장동,212-5,삼익,1978,4,104.83,2020,1,13,275000000
41111,경수대로,파장동,212-5,삼익,1978,11,76.99,2020,1,16,190000000
41111,파장천로58번길,파장동,622,현대,1992,1,59.6,2020,1,16,185000000
41111,수일로,파장동,199,궁전,1986,4,44.37,2020,1,17,125000000
41111,파장로100번길,파장동,572-2,SC제일,2017,6,78.8544,2020,1,20,236000000
41111,파장천로44번길,파장동,622,현대,1992,1,84.95,2020,1,23,229000000
41111,경수대로,파장동,632,북수원아이파크,2005,8,84.98,2020,1,23,400000000
41111,수일로,파장동,199,궁전,1986,2,44.37,2020,1,27,130000000
41111,경수대로,파장동,632,북수원아이파크,2005,4,84.98,2020,1,28,380000000
41111,수일로92번길,파장동,422-2,삼청,1985,2,50.65,2020,1,29,118500000
41111,장안로103번길,정자동,41-12,경원,1985,1,66.24,2020,1,1,153000000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,25,59.929,2020,1,1,450000000
41111,대평로51번길,정자동,882-5,화서역파크뷰,2000,8,59.94,2020,1,2,305000000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,7,84.911,2020,1,2,555000000
41111,파장로,정자동,423-1,벽산블루밍,2007,7,84.98,2020,1,2,338000000
41111,천천로21번길,정자동,922,화서역 위너스 파크,2002,4,84.45,2020,1,2,367000000
41111,정자천로189번길,정자동,872-1,연꽃마을풍림,1999,3,99.18,2020,1,2,385000000
41111,정자천로133번길,정자동,880-2,백설마을효성,2000,6,84.68,2020,1,2,358000000
41111,장안로,정자동,395,동신1단지,1987,6,56.71,2020,1,2,157000000
41111,장안로,정자동,313-1,동신2단지,1988,2,63.29,2020,1,3,171000000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,13,84.893,2020,1,3,600000000
41111,파장로,정자동,423-1,벽산블루밍,2007,11,126.88,2020,1,3,410000000
41111,천천로74번길,정자동,913,북수원리버파크,2002,7,59.92,2020,1,3,240000000
41111,만석로20번길,정자동,919,청솔마을한라,2001,3,59.992,2020,1,3,259000000
41111,정자천로189번길,정자동,873-3,연꽃마을벽산,2000,6,84.96,2020,1,3,344000000
41111,대평로89번길,정자동,871-4,백설 에듀빌,2001,12,84.96,2020,1,3,362000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,6,59.98,2020,1,3,275000000
41111,장안로,정자동,303,동신3단지,1989,15,84.93,2020,1,3,220000000
