지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,2,185000000
41117,동수원로,매탄동,810-1,현대,1989,2,84.94,2020,1,2,308500000
41117,동수원로,매탄동,1162,임광,1990,15,84.95,2020,1,2,295000000
41117,동수원로,매탄동,1162,임광,1990,8,84.96,2020,1,2,300000000
41117,인계로,매탄동,810-4,성일,1988,14,49.68,2020,1,2,181000000
41117,인계로,매탄동,810-3,삼성1,1988,9,55.16,2020,1,2,212000000
41117,인계로,매탄동,810-3,삼성1,1988,15,55.16,2020,1,2,205000000
41117,인계로,매탄동,897,매탄주공5,1985,10,83.04,2020,1,2,790000000
41117,동수원로,매탄동,810-2,동남,1989,9,49.68,2020,1,2,188500000
41117,동수원로,매탄동,1162,임광,1990,11,84.95,2020,1,3,305000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,11,84.818,2020,1,3,570000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,5,84.7807,2020,1,3,550000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,9,84.45,2020,1,3,340000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,4,185000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,11,103.6419,2020,1,4,718000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,6,84.7273,2020,1,4,590000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,14,59.9845,2020,1,4,470000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,19,84.7807,2020,1,4,600000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,9,84.975,2020,1,4,485000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,10,84.975,2020,1,4,490000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,11,84.45,2020,1,4,385000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,16,84.51,2020,1,4,350000000
41117,매영로,매탄동,1217,한국2,1993,1,72.84,2020,1,4,435000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,1,84.51,2020,1,4,330000000
41117,동수원로,매탄동,1162,임광,1990,3,84.95,2020,1,4,303000000
41117,동수원로,매탄동,1162,임광,1990,6,73.91,2020,1,4,260000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,9,49.94,2020,1,4,288000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,7,49.94,2020,1,4,290000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,2,59.76,2020,1,4,395000000
41117,매영로,매탄동,810,삼성2,1989,10,84.87,2020,1,4,328000000
41117,매영로,매탄동,810,삼성2,1989,1,84.87,2020,1,4,274000000
41117,인계로,매탄동,810-3,삼성1,1988,12,84.6,2020,1,4,310000000
41117,인계로,매탄동,897,매탄주공5,1985,4,73.08,2020,1,4,680000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,3,45.72,2020,1,4,618000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,1,45.72,2020,1,4,617000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,5,45.72,2020,1,4,600000000
41117,동수원로,매탄동,810-2,동남,1989,13,49.68,2020,1,4,180000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,2,59.76,2020,1,5,410000000
41117,인계로,매탄동,810-3,삼성1,1988,3,67.13,2020,1,6,245000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,16,59.9845,2020,1,6,450000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,21,59.9845,2020,1,6,480000000
41117,동수원로,매탄동,1162,임광,1990,6,73.91,2020,1,6,250000000
41117,동수원로,매탄동,1162,임광,1990,9,73.91,2020,1,6,270000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,17,59.99,2020,1,6,210000000
41117,동수원로,매탄동,810-2,동남,1989,15,49.68,2020,1,7,184000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,12,84.7807,2020,1,7,650000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,7,75.814,2020,1,7,330000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,14,84.71,2020,1,7,360000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,45.88,2020,1,7,235000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,13,84.45,2020,1,7,399000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,7,49.95,2020,1,7,175000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,5,59.99,2020,1,7,213000000
41117,인계로,매탄동,810-4,성일,1988,14,49.68,2020,1,7,187000000
41117,인계로,매탄동,810-4,성일,1988,5,39.99,2020,1,7,144000000
41117,매영로,매탄동,810,삼성2,1989,3,84.87,2020,1,7,322500000
41117,인계로,매탄동,810-3,삼성1,1988,8,67.13,2020,1,7,260000000
41117,인계로,매탄동,810-3,삼성1,1988,7,44.45,2020,1,7,185000000
41117,인계로,매탄동,810-3,삼성1,1988,3,55.16,2020,1,7,205000000
41117,인계로,매탄동,810-3,삼성1,1988,3,55.16,2020,1,7,202000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,1,45.72,2020,1,7,615000000
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,7,166000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,7,180000000
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,7,190000000
41117,매봉로27번길,매탄동,50,극동,1998,9,59.93,2020,1,8,245000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,12,84.45,2020,1,8,400000000
41117,동수원로,매탄동,1162,임광,1990,6,108.11,2020,1,8,330000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,9,59.99,2020,1,8,210000000
41117,매영로,매탄동,810,삼성2,1989,9,54.66,2020,1,8,205000000
41117,인계로,매탄동,810-3,삼성1,1988,4,55.16,2020,1,8,210000000
41117,인계로,매탄동,897,매탄주공5,1985,10,83.14,2020,1,8,799000000
41117,동수원로,매탄동,810-2,동남,1989,10,49.68,2020,1,8,190000000
41117,인계로,매탄동,810-4,성일,1988,6,49.68,2020,1,9,182000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,8,75.95,2020,1,9,330000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,1,75.95,2020,1,9,330000000
41117,동수원로,매탄동,810-1,현대,1989,4,125.25,2020,1,9,400000000
41117,동수원로,매탄동,810-1,현대,1989,13,125.25,2020,1,9,395000000
41117,동수원로,매탄동,1162,임광,1990,2,74.25,2020,1,9,234000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,10,44.2,2020,1,9,228500000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,14,130.727,2020,1,9,545000000
41117,동수원로,매탄동,810-2,동남,1989,7,49.68,2020,1,10,180000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,4,103.4857,2020,1,10,700000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,14,84.975,2020,1,10,510000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,10,84.975,2020,1,10,510000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,18,84.975,2020,1,10,495000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,59.648,2020,1,10,380000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,49.8,2020,1,10,245000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,7,59.92,2020,1,10,300000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,4,84.45,2020,1,10,365000000
41117,동수원로,매탄동,1162,임광,1990,10,74.25,2020,1,10,278000000
41117,동수원로,매탄동,1162,임광,1990,5,74.25,2020,1,10,240000000
41117,인계로,매탄동,810-4,성일,1988,4,49.68,2020,1,10,177000000
41117,매영로,매탄동,810,삼성2,1989,1,84.81,2020,1,10,280000000
41117,매영로,매탄동,810,삼성2,1989,11,74.4,2020,1,10,282000000
41117,인계로,매탄동,810-3,삼성1,1988,11,67.13,2020,1,10,270000000
41117,인계로,매탄동,810-3,삼성1,1988,9,55.16,2020,1,10,226500000
41117,인계로,매탄동,810-3,삼성1,1988,7,55.16,2020,1,10,235000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,5,53.1,2020,1,10,680000000
41117,동수원로,매탄동,1162,임광,1990,10,74.25,2020,1,11,275000000
41117,매봉로,매탄동,1209,e-편한세상,2010,15,84.9675,2020,1,11,537000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,10,75.95,2020,1,11,330000000
41117,인계로,매탄동,897,매탄주공5,1985,7,83.04,2020,1,13,790000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,8,59.648,2020,1,13,388000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,16,84.975,2020,1,13,520000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,84.975,2020,1,13,520000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,12,59.648,2020,1,13,410000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,4,59.92,2020,1,13,300000000
