지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,일련번호,거래유형,중개사소재지,해제사유발생일,해제여부,등기일자
41111,대평로39번길,정자동,888-2,노을마을대동,2000,5,59.97,2023,1,4,34000,00008,00000,41111,01,0,4322069,0888,0002,41111,13000,1,41111-37,중개거래,경기 수원장안구,,,23.01.31
41111,대평로89번길,정자동,871-4,백설 에듀빌,2001,17,84.96,2023,1,5,53800,00032,00000,41111,01,0,4322072,0871,0004,41111,13000,1,41111-47,중개거래,경기 수원장안구,,,23.02.01
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,20,84.9461,2023,1,6,40000,00092,00000,41111,01,0,4322370,0914,0000,41111,13000,1,41111-38,중개거래,경기 수원영통구,,,23.01.30
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,13,84.911,2023,1,7,65000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.04.14
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,23,84.893,2023,1,7,70000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.03.03
41111,천천로74번길,정자동,913,북수원리버파크,2002,17,49.8,2023,1,10,28700,00035,00000,41111,01,0,4322370,0913,0000,41111,13000,1,41111-62,중개거래,경기 수원장안구,,,23.02.27
41111,장안로,정자동,313-1,동신2단지,1988,15,43.02,2023,1,11,19500,00211,00000,41111,02,0,3176011,0313,0001,41111,13000,1,41111-41,중개거래,경기 수원장안구,,,23.02.03
41111,송정로,정자동,36-23,송학,1982,4,31.74,2023,1,12,13500,00082,00000,41111,00,,3174006,0036,0023,41111,13000,1,41111-54,중개거래,경기 수원장안구,,,23.04.19
41111,장안로,정자동,395,동신1단지,1987,8,56.71,2023,1,13,24500,00232,00000,41111,02,0,3176011,0395,0000,41111,13000,1,41111-40,중개거래,경기 수원장안구,,,23.02.17
41111,만석로159번길,정자동,417,남서울그린맨션,1990,4,91.55,2023,1,16,26000,00077,00000,41111,02,0,4322086,0417,0000,41111,13000,1,41111-36,직거래,,,,23.02.13
41111,정자천로188번길,정자동,24-1,정자KTe-편한세상,2008,4,143.41,2023,1,16,64700,00021,00000,41111,01,0,4322320,0024,0001,41111,13000,1,41111-1593,중개거래,경기 수원장안구,,,
41111,장안로,정자동,395,동신1단지,1987,10,56.71,2023,1,18,23200,00232,00000,41111,02,0,3176011,0395,0000,41111,13000,1,41111-40,중개거래,경기 수원장안구,,,23.07.03
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,11,59.929,2023,1,18,50000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.02.09
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,10,84.9461,2023,1,19,43700,00092,00000,41111,01,0,4322370,0914,0000,41111,13000,1,41111-38,중개거래,경기 수원장안구,,,23.03.23
41111,장안로,정자동,313-1,동신2단지,1988,5,59.66,2023,1,20,19500,00211,00000,41111,02,0,3176011,0313,0001,41111,13000,1,41111-41,직거래,,,,23.01.20
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,13,84.893,2023,1,20,66000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.02.08
41111,덕영대로639번길,정자동,881-4,꽃뫼노을마을한마루아파트,2000,23,60.0,2023,1,20,27600,00063,00000,41111,00,,4328483,0881,0004,41111,13000,1,41111-105,직거래,,,,23.01.31
41111,대평로51번길,정자동,882-5,화서역파크뷰,2000,14,59.94,2023,1,25,47000,00056,00000,41111,01,0,4322070,0882,0005,41111,13000,1,41111-33,중개거래,경기 수원장안구,,,23.01.31
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,14,59.961,2023,1,25,53000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.03.24
41111,대평로51번길,정자동,883-6,꽃뫼마을신안,1999,7,84.94,2023,1,25,59000,00022,00000,41111,01,0,4322070,0883,0006,41111,13000,1,41111-34,중개거래,경기 수원장안구,,,23.01.31
41111,장안로,정자동,395,동신1단지,1987,3,56.71,2023,1,28,25750,00232,00000,41111,02,0,3176011,0395,0000,41111,13000,1,41111-40,중개거래,경기 수원장안구,,,23.03.10
41111,파장로,정자동,423-1,벽산블루밍,2007,13,59.99,2023,1,30,40200,00053,00000,41111,02,0,3174015,0423,0001,41111,13000,1,41111-1582,중개거래,경기 수원장안구,,,23.04.24
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,16,59.929,2023,1,30,54500,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.04.05
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,2,134.099,2023,1,30,87000,00024,00000,41111,02,0,3174010,0945,0000,41111,13000,1,41111-1730,중개거래,경기 수원장안구,,,23.05.19
41111,장안로359번길,이목동,916,수원장안힐스테이트,2012,12,59.988,2023,1,27,46000,00020,00000,41111,02,0,4322266,0916,0000,41111,13100,1,41111-1669,중개거래,경기 수원장안구,,,23.04.27
41111,장안로,이목동,918,장안STX칸1단지,2013,15,101.922,2023,1,27,65500,00395,00000,41111,03,0,3176011,0918,0000,41111,13100,1,41111-1706,중개거래,경기 수원장안구,,,23.02.22
41111,장안로359번길,이목동,916,수원장안힐스테이트,2012,14,59.988,2023,1,27,40000,00020,00000,41111,02,0,4322266,0916,0000,41111,13100,1,41111-1669,직거래,,,,23.02.10
41111,화산로,율전동,319,신일,1997,6,59.92,2023,1,7,30500,00263,00000,41111,01,0,3176019,0319,0000,41111,13200,1,41111-16,중개거래,경기 수원장안구,,,23.02.10
41111,덕영대로407번길,율전동,543,벽산블루밍,2005,4,84.703,2023,1,28,34500,00063,00027,41111,01,0,4322076,0543,0000,41111,13200,1,41111-135,중개거래,경기 수원장안구,,,23.02.20
41111,서부로,율전동,468,삼성1,1998,18,84.99,2023,1,31,42600,02065,00000,41111,02,0,3012005,0468,0000,41111,13200,1,41111-13,직거래,,,,23.02.13
41111,서부로2106번길,율전동,439-8,율전,1980,1,43.97,2023,1,31,12800,00026,00130,41111,01,0,4322097,0439,0008,41111,13200,1,41111-108,중개거래,경기 수원장안구,,,23.02.06
41111,화산로187번길,천천동,544,천천삼성래미안,2002,12,84.99,2023,1,4,40500,00019,00000,41111,02,0,4322422,0544,0000,41111,13300,1,41111-31,중개거래,경기 수원장안구,,,23.01.05
41111,화산로187번길,천천동,544,천천삼성래미안,2002,19,84.99,2023,1,10,46000,00019,00000,41111,02,0,4322422,0544,0000,41111,13300,1,41111-31,중개거래,경기 수원장안구,,,23.03.28
41111,만석로,천천동,531,비단마을성우우방,2002,18,173.397,2023,1,12,77000,00029,00000,41111,02,0,3174003,0531,0000,41111,13300,1,41111-27,중개거래,경기 수원장안구,,,23.07.26
