지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41115,정조로,매교동,142-1,연향예스빌,2004,2,59.332,2020,1,17,209000000
41115,매산로116번길,매교동,77-75,블루오션,2017,5,58.66,2020,1,31,220000000
41115,권선로,매산로2가,90,대한대우,1999,2,84.99,2020,1,2,400000000
41115,권선로,매산로2가,90,대한대우,1999,10,154.11,2020,1,4,557000000
41115,권선로,매산로2가,90,대한대우,1999,2,84.99,2020,1,9,430000000
41115,권선로,매산로2가,90,대한대우,1999,7,134.94,2020,1,9,530000000
41115,권선로,매산로2가,90,대한대우,1999,10,59.95,2020,1,20,400000000
41115,권선로,매산로2가,90,대한대우,1999,8,84.97,2020,1,21,440000000
41115,권선로,매산로2가,90,대한대우,1999,3,154.11,2020,1,29,550000000
41115,권선로,매산로2가,90,대한대우,1999,5,84.97,2020,1,30,450000000
41115,권선로,매산로2가,90,대한대우,1999,10,84.97,2020,1,30,380000000
41115,권선로,매산로2가,90,대한대우,1999,3,134.94,2020,1,30,500000000
41115,매산로,매산로3가,32-1,KCC파크타운,2005,12,84.87,2020,1,7,300000000
41115,고매로,고등동,67-19,동은,2006,6,73.93,2020,1,4,223000000
41115,갓매산로86번길,고등동,94-1,해창,1979,5,64.89,2020,1,18,286000000
41115,갓매산로86번길,고등동,94-1,해창,1979,4,65.36,2020,1,21,272000000
41115,덕영대로735번길,화서동,656,한진현대아파트,1997,3,134.985,2020,1,2,400000000
41115,화양로50번길,화서동,250-4,화서역블루밍푸른숲,2009,3,84.942,2020,1,2,380000000
41115,장안로5번길,화서동,11-11,성원쌍떼빌,2001,10,84.48,2020,1,3,253000000
41115,수성로258번길,화서동,769,화서한신더휴,2014,5,84.98,2020,1,3,380000000
41115,화양로50번길,화서동,250-4,화서역블루밍푸른숲,2009,10,84.942,2020,1,3,410000000
41115,덕영대로697번길,화서동,650,화서4단지주공,1997,8,59.98,2020,1,3,337000000
41115,덕영대로697번길,화서동,650,화서4단지주공,1997,8,59.98,2020,1,3,378000000
41115,덕영대로697번길,화서동,646,화서3단지주공,1997,7,84.79,2020,1,3,450000000
